Location,Sea level [mm],Date
Helsinki Kaivopuisto,141.33333333333334,1975-10-02
Helsinki Kaivopuisto,127.20833333333333,1975-10-03
Helsinki Kaivopuisto,96.79166666666667,1975-10-04
Helsinki Kaivopuisto,144.16666666666666,1975-10-05
Helsinki Kaivopuisto,322.875,1975-10-06
Helsinki Kaivopuisto,364.3333333333333,1975-10-07
Helsinki Kaivopuisto,286.1666666666667,1975-10-08
Helsinki Kaivopuisto,262.0416666666667,1975-10-09
Helsinki Kaivopuisto,180.25,1975-10-10
Helsinki Kaivopuisto,265.125,1975-10-11
Helsinki Kaivopuisto,285.8333333333333,1975-10-12
Helsinki Kaivopuisto,177.41666666666666,1975-10-13
Helsinki Kaivopuisto,51.875,1975-10-14
Helsinki Kaivopuisto,-15.041666666666666,1975-10-15
Helsinki Kaivopuisto,38.625,1975-10-16
Helsinki Kaivopuisto,101.41666666666667,1975-10-17
Helsinki Kaivopuisto,-24.416666666666668,1975-10-18
Helsinki Kaivopuisto,-143.66666666666666,1975-10-19
Helsinki Kaivopuisto,-177.75,1975-10-20
Helsinki Kaivopuisto,-155.5,1975-10-21
Helsinki Kaivopuisto,-162.20833333333334,1975-10-22
Helsinki Kaivopuisto,-137.83333333333334,1975-10-23
Helsinki Kaivopuisto,-67.04166666666667,1975-10-24
Helsinki Kaivopuisto,-46.083333333333336,1975-10-25
Helsinki Kaivopuisto,22.6,1975-10-26
Helsinki Kaivopuisto,37.166666666666664,1975-10-27
Helsinki Kaivopuisto,15.083333333333334,1975-10-28
Helsinki Kaivopuisto,141.41666666666666,1975-10-29
Helsinki Kaivopuisto,-14.958333333333334,1975-10-30
Helsinki Kaivopuisto,-1.3333333333333333,1975-10-31
Helsinki Kaivopuisto,105.29166666666667,1975-11-01
Helsinki Kaivopuisto,-73.625,1975-11-02
Helsinki Kaivopuisto,-40.0,1975-11-03
Helsinki Kaivopuisto,15.916666666666666,1975-11-04
Helsinki Kaivopuisto,119.5,1975-11-05
Helsinki Kaivopuisto,124.0,1975-11-06
Helsinki Kaivopuisto,43.708333333333336,1975-11-07
Helsinki Kaivopuisto,-6.833333333333333,1975-11-08
Helsinki Kaivopuisto,55.458333333333336,1975-11-09
Helsinki Kaivopuisto,-60.125,1975-11-10
Helsinki Kaivopuisto,-151.29166666666666,1975-11-11
Helsinki Kaivopuisto,-157.375,1975-11-12
Helsinki Kaivopuisto,-163.16666666666666,1975-11-13
Helsinki Kaivopuisto,-203.20833333333334,1975-11-14
Helsinki Kaivopuisto,-52.5,1975-11-15
Helsinki Kaivopuisto,-21.125,1975-11-16
Helsinki Kaivopuisto,-218.54166666666666,1975-11-17
Helsinki Kaivopuisto,-229.04166666666666,1975-11-18
Helsinki Kaivopuisto,-140.79166666666666,1975-11-19
Helsinki Kaivopuisto,-326.2916666666667,1975-11-20
Helsinki Kaivopuisto,-150.16666666666666,1975-11-21
Helsinki Kaivopuisto,-56.583333333333336,1975-11-22
Helsinki Kaivopuisto,25.25,1975-11-23
Helsinki Kaivopuisto,110.91666666666667,1975-11-24
Helsinki Kaivopuisto,76.83333333333333,1975-11-25
Helsinki Kaivopuisto,-10.25,1975-11-26
Helsinki Kaivopuisto,-90.95833333333333,1975-11-27
Helsinki Kaivopuisto,-81.20833333333333,1975-11-28
Helsinki Kaivopuisto,-26.416666666666668,1975-11-29
Helsinki Kaivopuisto,227.625,1975-11-30
Helsinki Kaivopuisto,3.5833333333333335,1975-12-01
Helsinki Kaivopuisto,-21.791666666666668,1975-12-02
Helsinki Kaivopuisto,-44.625,1975-12-03
Helsinki Kaivopuisto,119.58333333333333,1975-12-04
Helsinki Kaivopuisto,202.75,1975-12-05
Helsinki Kaivopuisto,142.83333333333334,1975-12-06
Helsinki Kaivopuisto,266.1666666666667,1975-12-07
Helsinki Kaivopuisto,201.45833333333334,1975-12-08
Helsinki Kaivopuisto,457.375,1975-12-09
Helsinki Kaivopuisto,207.25,1975-12-10
Helsinki Kaivopuisto,354.9166666666667,1975-12-11
Helsinki Kaivopuisto,334.0416666666667,1975-12-12
Helsinki Kaivopuisto,178.16666666666666,1975-12-13
Helsinki Kaivopuisto,386.4583333333333,1975-12-14
Helsinki Kaivopuisto,498.8333333333333,1975-12-15
Helsinki Kaivopuisto,426.125,1975-12-16
Helsinki Kaivopuisto,168.20833333333334,1975-12-17
Helsinki Kaivopuisto,304.2083333333333,1975-12-18
Helsinki Kaivopuisto,299.375,1975-12-19
Helsinki Kaivopuisto,306.2083333333333,1975-12-20
Helsinki Kaivopuisto,365.2916666666667,1975-12-21
Helsinki Kaivopuisto,464.8333333333333,1975-12-22
Helsinki Kaivopuisto,513.0416666666666,1975-12-23
Helsinki Kaivopuisto,373.875,1975-12-24
Helsinki Kaivopuisto,460.375,1975-12-25
Helsinki Kaivopuisto,499.2083333333333,1975-12-26
Helsinki Kaivopuisto,492.5833333333333,1975-12-27
Helsinki Kaivopuisto,647.9583333333334,1975-12-28
Helsinki Kaivopuisto,542.7083333333334,1975-12-29
Helsinki Kaivopuisto,743.125,1975-12-30
Helsinki Kaivopuisto,934.3333333333334,1975-12-31
Helsinki Kaivopuisto,559.7916666666666,1976-01-01
Helsinki Kaivopuisto,598.8333333333334,1976-01-02
Helsinki Kaivopuisto,436.1666666666667,1976-01-03
Helsinki Kaivopuisto,361.875,1976-01-04
Helsinki Kaivopuisto,581.5833333333334,1976-01-05
Helsinki Kaivopuisto,325.0833333333333,1976-01-06
Helsinki Kaivopuisto,746.8333333333334,1976-01-07
Helsinki Kaivopuisto,634.5416666666666,1976-01-08
Helsinki Kaivopuisto,650.0833333333334,1976-01-09
Helsinki Kaivopuisto,522.4166666666666,1976-01-10
Helsinki Kaivopuisto,417.875,1976-01-11
Helsinki Kaivopuisto,568.2916666666666,1976-01-12
Helsinki Kaivopuisto,602.1666666666666,1976-01-13
Helsinki Kaivopuisto,565.25,1976-01-14
Helsinki Kaivopuisto,467.6666666666667,1976-01-15
Helsinki Kaivopuisto,490.5416666666667,1976-01-16
Helsinki Kaivopuisto,361.1666666666667,1976-01-17
Helsinki Kaivopuisto,489.8333333333333,1976-01-18
Helsinki Kaivopuisto,488.5,1976-01-19
Helsinki Kaivopuisto,666.5416666666666,1976-01-20
Helsinki Kaivopuisto,601.125,1976-01-21
Helsinki Kaivopuisto,558.2916666666666,1976-01-22
Helsinki Kaivopuisto,560.5833333333334,1976-01-23
Helsinki Kaivopuisto,534.8333333333334,1976-01-24
Helsinki Kaivopuisto,545.375,1976-01-25
Helsinki Kaivopuisto,506.1666666666667,1976-01-26
Helsinki Kaivopuisto,483.4583333333333,1976-01-27
Helsinki Kaivopuisto,407.25,1976-01-28
Helsinki Kaivopuisto,327.5416666666667,1976-01-29
Helsinki Kaivopuisto,289.375,1976-01-30
Helsinki Kaivopuisto,281.3333333333333,1976-01-31
Helsinki Kaivopuisto,239.91666666666666,1976-02-01
Helsinki Kaivopuisto,192.91666666666666,1976-02-02
Helsinki Kaivopuisto,115.29166666666667,1976-02-03
Helsinki Kaivopuisto,-15.333333333333334,1976-02-04
Helsinki Kaivopuisto,71.875,1976-02-05
Helsinki Kaivopuisto,22.208333333333332,1976-02-06
Helsinki Kaivopuisto,33.958333333333336,1976-02-07
Helsinki Kaivopuisto,35.0,1976-02-08
Helsinki Kaivopuisto,-106.16666666666667,1976-02-09
Helsinki Kaivopuisto,-54.083333333333336,1976-02-10
Helsinki Kaivopuisto,-25.0,1976-02-11
Helsinki Kaivopuisto,-89.875,1976-02-12
Helsinki Kaivopuisto,-147.25,1976-02-13
Helsinki Kaivopuisto,-201.20833333333334,1976-02-14
Helsinki Kaivopuisto,-145.70833333333334,1976-02-15
Helsinki Kaivopuisto,-99.0,1976-02-16
Helsinki Kaivopuisto,-112.41666666666667,1976-02-17
Helsinki Kaivopuisto,-151.45833333333334,1976-02-18
Helsinki Kaivopuisto,-240.45833333333334,1976-02-19
Helsinki Kaivopuisto,-219.08333333333334,1976-02-20
Helsinki Kaivopuisto,-242.16666666666666,1976-02-21
Helsinki Kaivopuisto,-342.0833333333333,1976-02-22
Helsinki Kaivopuisto,-322.25,1976-02-23
Helsinki Kaivopuisto,-256.7916666666667,1976-02-24
Helsinki Kaivopuisto,4.833333333333333,1976-02-25
Helsinki Kaivopuisto,-35.583333333333336,1976-02-26
Helsinki Kaivopuisto,33.625,1976-02-27
Helsinki Kaivopuisto,-30.875,1976-02-28
Helsinki Kaivopuisto,-97.25,1976-02-29
Helsinki Kaivopuisto,60.166666666666664,1976-03-01
Helsinki Kaivopuisto,19.583333333333332,1976-03-02
Helsinki Kaivopuisto,27.708333333333332,1976-03-03
Helsinki Kaivopuisto,-105.08333333333333,1976-03-04
Helsinki Kaivopuisto,-166.95833333333334,1976-03-05
Helsinki Kaivopuisto,-205.125,1976-03-06
Helsinki Kaivopuisto,-234.25,1976-03-07
Helsinki Kaivopuisto,-304.0416666666667,1976-03-08
Helsinki Kaivopuisto,-192.29166666666666,1976-03-09
Helsinki Kaivopuisto,-134.66666666666666,1976-03-10
Helsinki Kaivopuisto,-137.66666666666666,1976-03-11
Helsinki Kaivopuisto,-172.08333333333334,1976-03-12
Helsinki Kaivopuisto,-212.25,1976-03-13
Helsinki Kaivopuisto,-290.9166666666667,1976-03-14
Helsinki Kaivopuisto,-327.0833333333333,1976-03-15
Helsinki Kaivopuisto,-273.5833333333333,1976-03-16
Helsinki Kaivopuisto,-209.875,1976-03-17
Helsinki Kaivopuisto,-246.83333333333334,1976-03-18
Helsinki Kaivopuisto,-261.5,1976-03-19
Helsinki Kaivopuisto,-354.9166666666667,1976-03-20
Helsinki Kaivopuisto,-444.875,1976-03-21
Helsinki Kaivopuisto,-538.9166666666666,1976-03-22
Helsinki Kaivopuisto,-377.5416666666667,1976-03-23
Helsinki Kaivopuisto,-297.1666666666667,1976-03-24
Helsinki Kaivopuisto,-341.0833333333333,1976-03-25
Helsinki Kaivopuisto,-332.8333333333333,1976-03-26
Helsinki Kaivopuisto,-173.20833333333334,1976-03-27
Helsinki Kaivopuisto,-131.30434782608697,1976-03-28
Helsinki Kaivopuisto,-8.541666666666666,1976-03-29
Helsinki Kaivopuisto,45.25,1976-03-30
Helsinki Kaivopuisto,81.58333333333333,1976-03-31
Helsinki Kaivopuisto,146.83333333333334,1976-04-01
Helsinki Kaivopuisto,30.541666666666668,1976-04-02
Helsinki Kaivopuisto,3.8333333333333335,1976-04-03
Helsinki Kaivopuisto,-16.291666666666668,1976-04-04
Helsinki Kaivopuisto,-29.041666666666668,1976-04-05
Helsinki Kaivopuisto,195.20833333333334,1976-04-06
Helsinki Kaivopuisto,197.75,1976-04-07
Helsinki Kaivopuisto,97.54166666666667,1976-04-08
Helsinki Kaivopuisto,88.5,1976-04-09
Helsinki Kaivopuisto,45.583333333333336,1976-04-10
Helsinki Kaivopuisto,37.916666666666664,1976-04-11
Helsinki Kaivopuisto,-31.125,1976-04-12
Helsinki Kaivopuisto,-10.166666666666666,1976-04-13
Helsinki Kaivopuisto,-67.91666666666667,1976-04-14
Helsinki Kaivopuisto,-63.5,1976-04-15
Helsinki Kaivopuisto,-40.208333333333336,1976-04-16
Helsinki Kaivopuisto,24.708333333333332,1976-04-17
Helsinki Kaivopuisto,56.583333333333336,1976-04-18
Helsinki Kaivopuisto,16.75,1976-04-19
Helsinki Kaivopuisto,26.083333333333332,1976-04-20
